staffId,name,age,gender,position,skills,experience,educationLevel
S061,姓名061,42,Male,Developer,"['Innovation', 'Machine Learning', 'Innovation']",11,Bachelor
S062,姓名062,48,Male,Manager,['Project Management'],18,Bachelor
S063,姓名063,50,Male,Manager,"['Project Management', 'Communication', 'Data Analysis', 'Leadership']",15,Bachelor
S064,姓名064,49,Male,Developer,"['Problem Solving', 'Data Analysis', 'Machine Learning', 'Project Management']",12,Bachelor
S065,姓名065,53,Female,Manager,"['Project Management', 'Programming', 'Project Management']",9,Bachelor
S066,姓名066,39,Male,Team Leader,['Communication'],10,Bachelor
S067,姓名067,25,Female,Team Leader,"['Problem Solving', 'Leadership', 'Machine Learning']",12,Master
S068,姓名068,49,Male,Manager,['Leadership'],17,PhD
S069,姓名069,31,Male,Manager,"['Project Management', 'Leadership']",6,Bachelor
S070,姓名070,33,Male,Developer,"['Project Management', 'Innovation', 'Communication']",7,Master
S071,姓名071,48,Male,Researcher,"['Innovation', 'Leadership']",14,Master
S072,姓名072,25,Female,Manager,"['Programming', 'Programming', 'Leadership', 'Innovation']",13,PhD
S073,姓名073,32,Female,Team Leader,['Problem Solving'],8,Bachelor
S074,姓名074,48,Male,Developer,"['Problem Solving', 'Programming', 'Communication', 'Programming']",10,PhD
S075,姓名075,35,Male,Manager,"['Data Analysis', 'Machine Learning', 'Project Management']",9,Bachelor
S076,姓名076,41,Female,Team Leader,"['Data Analysis', 'Programming', 'Communication', 'Leadership']",18,Master
S077,姓名077,32,Male,Team Leader,['Communication'],2,Master
S078,姓名078,59,Male,Researcher,"['Programming', 'Problem Solving', 'Leadership', 'Communication']",5,Master
S079,姓名079,59,Male,Developer,"['Communication', 'Machine Learning']",5,Master
S080,姓名080,57,Female,Developer,['Machine Learning'],6,PhD
S081,姓名081,29,Female,Researcher,"['Project Management', 'Project Management', 'Innovation', 'Programming']",19,Bachelor
S082,姓名082,52,Female,Researcher,"['Machine Learning', 'Leadership', 'Communication']",8,Bachelor
S083,姓名083,31,Male,Developer,"['Programming', 'Problem Solving']",16,PhD
S084,姓名084,33,Male,Developer,"['Project Management', 'Communication']",13,Bachelor
S085,姓名085,32,Female,Manager,['Machine Learning'],1,Master
S086,姓名086,36,Female,Manager,"['Machine Learning', 'Problem Solving']",17,Bachelor
S087,姓名087,58,Female,Researcher,"['Project Management', 'Data Analysis']",7,Master
S088,姓名088,57,Female,Manager,"['Innovation', 'Leadership']",13,PhD
S089,姓名089,47,Male,Team Leader,"['Programming', 'Programming', 'Machine Learning', 'Innovation']",4,Bachelor
S090,姓名090,48,Female,Manager,"['Innovation', 'Problem Solving', 'Project Management', 'Leadership']",4,PhD
S091,姓名091,59,Male,Manager,"['Innovation', 'Innovation', 'Data Analysis', 'Machine Learning']",6,Bachelor
S092,姓名092,46,Female,Team Leader,"['Machine Learning', 'Project Management', 'Data Analysis', 'Machine Learning']",19,Master
S093,姓名093,51,Male,Researcher,['Leadership'],12,PhD
S094,姓名094,59,Female,Team Leader,['Data Analysis'],7,Bachelor
S095,姓名095,25,Female,Manager,"['Programming', 'Machine Learning', 'Data Analysis']",10,Master
S096,姓名096,59,Female,Researcher,['Leadership'],19,PhD
S097,姓名097,38,Female,Manager,"['Project Management', 'Data Analysis', 'Machine Learning', 'Programming']",7,PhD
S098,姓名098,27,Male,Team Leader,['Machine Learning'],3,Bachelor
S099,姓名099,25,Female,Team Leader,"['Communication', 'Project Management', 'Programming']",13,Bachelor
S100,姓名100,29,Male,Manager,"['Project Management', 'Data Analysis', 'Problem Solving']",13,Bachelor
